
  === FINAL ===  

  ID | Dorm No.
-----------------
   0 |  1-102
   1 |  1-208
   2 |  1-305
   3 |  1-420
   4 |  1-426
   5 |  1-430
   6 |  1-516
   7 |  1-522
   8 |  1-607
   9 |  1-621
  10 |  1-626
  11 |  2-121
  12 |  2-129
  13 |  2-131
  14 |  2-202
  15 |  2-306
  16 |  2-325
  17 |  2-401
  18 |  2-518
  19 |  3-110
  20 |  3-116
  21 |  3-218
  22 |  3-320
  23 |  3-407
  24 |  3-506
  25 |  3-608
  26 |  3-622
  27 |  4-101
  28 |  4-202
  29 |  4-204
  30 |  4-213
  31 |  4-312
  32 |  4-322
  33 |  4-328
  34 |  4-405
  35 |  4-418
  36 |  4-521
  37 |  4-526
  38 |  4-603
  39 |  5-209
  40 |  5-212
  41 |  5-315
  42 |  5-414
  43 |  5-418
  44 |  5-513
  45 |  5-526
  46 |  5-601
  47 |  5-619
  48 |  6-104
  49 |  6-121
  50 |  6-201
  51 |  6-214
  52 |  6-227
  53 |  6-328
  54 |  6-512
  55 |  6-527
  56 |  6-611
  57 |  6-617
  58 |  6-630
  59 |  7-213
  60 |  7-230
  61 |  7-301
  62 |  7-418
  63 |  7-427
  64 |  7-504
  65 |  7-506
  66 |  7-512
  67 |  7-624
  68 |  8-102
  69 |  8-119
  70 |  8-128
  71 |  8-130
  72 |  8-213
  73 |  8-320
  74 |  8-327
  75 |  8-429
  76 |  8-509
  77 |  8-520
  78 |  8-528
  79 |  8-603
  80 |  8-616
  81 |  9-110
  82 |  9-203
  83 |  9-319
  84 |  9-410
  85 |  9-522
  86 |  9-528
  87 | 10-130
  88 | 10-212
  89 | 10-214
  90 | 10-219
  91 | 10-316
  92 | 10-324
  93 | 10-407
  94 | 10-429
  95 | 10-612
  96 | 11-110
  97 | 11-115
  98 | 11-205
  99 | 11-221
 100 | 11-303
 101 | 11-306
 102 | 11-328
 103 | 11-404
 104 | 11-406
 105 | 11-410
 106 | 11-419
 107 | 11-421
 108 | 11-502
 109 | 11-504
 110 | 11-521
 111 | 11-523
 112 | 11-602
 113 | 11-609
 114 | 11-613
 115 | 11-630
 116 | 12-102
 117 | 12-107
 118 | 12-202
 119 | 12-206
 120 | 12-213
 121 | 12-215
 122 | 12-231
 123 | 12-312
 124 | 12-408
 125 | 12-410
 126 | 12-419
 127 | 12-606
 128 | 12-608
 129 | 13-108
 130 | 13-111
 131 | 13-122
 132 | 13-127
 133 | 13-313
 134 | 13-315
 135 | 13-405
 136 | 13-523
 137 | 13-607
 138 | 13-608
 139 | 13-627
 140 | 14-104
 141 | 14-115
 142 | 14-130
 143 | 14-522
 144 | 14-607
 145 | 14-610
 146 | 15-110
 147 | 15-210
 148 | 15-225
 149 | 15-230
 150 | 15-304
 151 | 15-306
 152 | 15-327
 153 | 15-424
 154 | 15-426
 155 | 15-428
 156 | 15-501
 157 | 15-508
 158 | 15-517
 159 | 16-120
 160 | 16-125
 161 | 16-212
 162 | 16-326
 163 | 16-425
 164 | 16-620
 165 | 19-208
 166 | 19-218
 167 | 19-231
 168 | 19-404
 169 | 19-427
 170 | 19-604
 171 | 20-105
 172 | 20-114
 173 | 20-119
 174 | 20-121
 175 | 20-205
 176 | 20-221
 177 | 20-312
 178 | 20-320
 179 | 20-411
 180 | 20-423
 181 | 20-508
 182 | 21-111
 183 | 21-119
 184 | 21-317
 185 | 21-520
 186 | 21-601
 187 | 22-103
 188 | 22-123
 189 | 22-229
 190 | 22-301
 191 | 22-305
 192 | 22-401
 193 | 22-425
 194 | 22-429
 195 | 22-506
 196 | 22-517
 197 | 22-601
 198 | 22-604
 199 | 22-609
